Green Slime, 55, 0, 10, 0, -1, -1, -1, 1
Spooked Ghost, 60, 0, 12, 5, 0, -1, -1, 1
Pink Jellyfish, 80, 100, 5, 5, -1, 13, 7, 1
Flame Imp, 150, 150, 10, 10, 1, 13, 8, 2
Skeleton, 150, 0, 15, 15, 1, 14, -1, 2
Poisonous Creeper, 120, 0, 35, 0, 1, 14, -1, 3
Angry Ectoplasm, 170, 100, 20, 15, 2, 15, 8, 3
Giant Worm, 220, 0, 45, 20, -1, 16, -1, 4
Faceless Tormentor, 200, 120, 30, 20, 3, 16, 9, 5
Cursed Prophet, 200, 500, 15, 20, -1, 14, 10, 6
Devourer, 250, 0, 50, 40, 3, 16, -1, 7
Vampire Countess, 200, 75, 30, 20, 4, 17, 10, 7
Soul Collector, 250, 150, 20, 40, 5, 17, 11, 8
Kel'Thuzad, 300, 300, 20, 50, 5, 18, 11, 9
The Lich King, 400, 200, 20, 100, 6, 19, 12, 10
